frame	global_ped_id	x	y	avg_group_size
780.0	0_1.0	8.46	3.59	0.8
790.0	0_1.0	9.57	3.79	0.8
800.0	0_1.0	10.67	3.99	0.8
810.0	0_1.0	11.73	4.32	0.8
820.0	0_1.0	12.81	4.61	0.8
1050.0	0_10.0	12.78	5.29	4.333333333333333
1060.0	0_10.0	12.78	5.29	4.333333333333333
1070.0	0_10.0	12.78	5.29	4.333333333333333
1080.0	0_10.0	12.78	5.29	4.333333333333333
1090.0	0_10.0	12.8	5.26	4.333333333333333
1100.0	0_10.0	12.91	5.25	4.333333333333333
4960.0	0_100.0	12.77	6.74	1.0
4970.0	0_100.0	12.13	6.85	1.0
4980.0	0_100.0	11.45	7.19	1.0
4990.0	0_100.0	10.55	7.25	1.0
4970.0	0_101.0	12.72	6.41	1.0
4980.0	0_101.0	11.61	6.48	1.0
4990.0	0_101.0	10.72	6.53	1.0
5110.0	0_103.0	3.76	4.07	1.375
5120.0	0_103.0	2.8	3.57	1.375
5130.0	0_103.0	2.16	3.16	1.375
5140.0	0_103.0	1.46	2.71	1.375
5150.0	0_103.0	0.73	2.3	1.375
5160.0	0_103.0	-0.1	1.84	1.375
5170.0	0_103.0	-0.92	1.52	1.375
5180.0	0_103.0	-1.61	0.91	1.375
5110.0	0_104.0	3.7	5.02	2.25
5120.0	0_104.0	2.92	4.64	2.25
5130.0	0_104.0	2.0	4.16	2.25
5140.0	0_104.0	1.38	3.72	2.25
5150.0	0_104.0	0.67	3.22	2.25
5160.0	0_104.0	-0.13	2.73	2.25
5170.0	0_104.0	-1.0	2.38	2.25
5180.0	0_104.0	-1.77	1.6	2.25
5110.0	0_105.0	3.54	6.15	1.75
5120.0	0_105.0	2.68	5.6	1.75
5130.0	0_105.0	1.86	5.08	1.75
5140.0	0_105.0	1.07	4.58	1.75
5150.0	0_105.0	0.24	4.05	1.75
5160.0	0_105.0	-0.62	3.57	1.75
5170.0	0_105.0	-1.35	2.88	1.75
5180.0	0_105.0	-2.14	2.15	1.75
5110.0	0_106.0	5.26	6.57	1.75
5120.0	0_106.0	4.35	6.37	1.75
5130.0	0_106.0	3.6	5.91	1.75
